0000	Spooky Wardrobe     
01D7	Extinguisher        
01D8	Ruby Econo-chair    
01D9	Ruby Econo-chair    
01DA	Ruby Econo-chair    
01DB	Ruby Econo-chair    
01DC	Gold Econo-chair    
01DD	Gold Econo-chair    
01DE	Gold Econo-chair    
01DF	Gold Econo-chair    
01E0	Jade Econo-chair    
01E1	Jade Econo-chair    
01E2	Jade Econo-chair    
01E3	Jade Econo-chair    
01E4	Gold Stereo         
01E5	Gold Stereo         
01E6	Gold Stereo         
01E7	Gold Stereo         
01E8	Folding Chair       
01E9	Folding Chair       
01EA	Folding Chair       
01EB	Folding Chair       
01EC	Lovely Vanity       
01ED	Lovely Vanity       
01EE	Lovely Vanity       
01EF	Lovely Vanity       
01F0	Birdcage            
01F1	Birdcage            
01F2	Birdcage            
01F3	Birdcage            
01F4	Timpano Drum        
01F5	Timpano Drum        
01F6	Timpano Drum        
01F7	Timpano Drum        
01F8	Nice Speaker        
01F9	Nice Speaker        
01FA	Nice Speaker        
01FB	Nice Speaker        
01FC	Birthday Cake       
01FD	Birthday Cake       
01FE	Birthday Cake       
01FF	Birthday Cake       
0200	School Desk         
0201	School Desk         
0202	School Desk         
0203	School Desk         
0204	Graffiti Desk       
0205	Graffiti Desk       
0206	Graffiti Desk       
0207	Graffiti Desk       
0208	Towel Desk          
0209	Towel Desk          
020A	Towel Desk          
020B	Towel Desk          
020C	Tall Cactus         
020D	Tall Cactus         
020E	Tall Cactus         
020F	Tall Cactus         
0210	Round Cactus        
0211	Round Cactus        
0212	Round Cactus        
0213	Round Cactus        
0214	Classic Bed         
0215	Classic Bed         
0216	Classic Bed         
0217	Classic Bed         
0218	Wide-screen TV      
0219	Wide-screen TV      
021A	Wide-screen TV      
021B	Wide-screen TV      
021C	Lovely Table        
021D	Lovely Table        
021E	Lovely Table        
021F	Lovely Table        
0220	Kadomatsu           
0221	Kadomatsu           
0222	Kadomatsu           
0223	Kadomatsu           
0224	Kagamimochi         
0225	Kagamimochi         
0226	Kagamimochi         
0227	Kagamimochi         
0228	Low Lantern         
0229	Low Lantern         
022A	Low Lantern         
022B	Low Lantern         
022C	Tall Lantern        
022D	Tall Lantern        
022E	Tall Lantern        
022F	Tall Lantern        
0230	Pond Lantern        
0231	Pond Lantern        
0232	Pond Lantern        
0233	Pond Lantern        
0234	Office Chair        
0235	Office Chair        
0236	Office Chair        
0237	Office Chair        
0238	Cubby Hole          
0239	Cubby Hole          
023A	Cubby Hole          
023B	Cubby Hole          
023C	Letter Cubby        
023D	Letter Cubby        
023E	Letter Cubby        
023F	Letter Cubby        
0240	Heavy Chair         
0241	Heavy Chair         
0242	Heavy Chair         
0243	Heavy Chair         
0244	School Chair        
0245	School Chair        
0246	School Chair        
0247	School Chair        
0248	Towel Chair         
0249	Towel Chair         
024A	Towel Chair         
024B	Towel Chair         
024C	Science Table       
024D	Science Table       
024E	Science Table       
024F	Science Table       
0250	Stepstool           
0251	Stepstool           
0252	Stepstool           
0253	Stepstool           
0254	Shrine Lantern      
0255	Shrine Lantern      
0256	Shrine Lantern      
0257	Shrine Lantern      
0258	Barrel              
0259	Barrel              
025A	Barrel              
025B	Barrel              
025C	Keg                 
025D	Keg                 
025E	Keg                 
025F	Keg                 
0260	Vaulting Horse      
0261	Vaulting Horse      
0262	Vaulting Horse      
0263	Vaulting Horse      
0264	Glass-top Table     
0265	Glass-top Table     
0266	Glass-top Table     
0267	Glass-top Table     
0268	Alarm Clock         
0269	Alarm Clock         
026A	Alarm Clock         
026B	Alarm Clock         
026C	Tulip Table         
026D	Tulip Table         
026E	Tulip Table         
026F	Tulip Table         
0270	Daffodil Table      
0271	Daffodil Table      
0272	Daffodil Table      
0273	Daffodil Table      
0274	Iris Table          
0275	Iris Table          
0276	Iris Table          
0277	Iris Table          
0278	Blue Vase           
0279	Blue Vase           
027A	Blue Vase           
027B	Blue Vase           
027C	Tulip Chair         
027D	Tulip Chair         
027E	Tulip Chair         
027F	Tulip Chair         
0280	Daffodil Chair      
0281	Daffodil Chair      
0282	Daffodil Chair      
0283	Daffodil Chair      
0284	Iris Chair          
0285	Iris Chair          
0286	Iris Chair          
0287	Iris Chair          
0288	Elephant Slide      
0289	Elephant Slide      
028A	Elephant Slide      
028B	Elephant Slide      
028C	Toilet              
028D	Toilet              
028E	Toilet              
028F	Toilet              
0290	Super Toilet        
0291	Super Toilet        
0292	Super Toilet        
0293	Super Toilet        
0294	Pine Table          
0295	Pine Table          
0296	Pine Table          
0297	Pine Table          
0298	Pine Chair          
0299	Pine Chair          
029A	Pine Chair          
029B	Pine Chair          
029C	Tea Vase            
029D	Tea Vase            
029E	Tea Vase            
029F	Tea Vase            
02A0	Red Vase            
02A1	Red Vase            
02A2	Red Vase            
02A3	Red Vase            
02A4	Sewing Machine      
02A5	Sewing Machine      
02A6	Sewing Machine      
02A7	Sewing Machine      
02A8	Billiard Table      
02A9	Billiard Table      
02AA	Billiard Table      
02AB	Billiard Table      
02AC	Famous Painting     
02AD	Famous Painting     
02AE	Famous Painting     
02AF	Famous Painting     
02B0	Basic Painting      
02B1	Basic Painting      
02B2	Basic Painting      
02B3	Basic Painting      
02B4	Scarying Painting   
02B5	Scarying Painting   
02B6	Scarying Painting   
02B7	Scarying Painting   
02B8	Moving Painting     
02B9	Moving Painting     
02BA	Moving Painting     
02BB	Moving Painting     
02BC	Flowery Painting    
02BD	Flowery Painting    
02BE	Flowery Painting    
02BF	Flowery Painting    
02C0	Common Painting     
02C1	Common Painting     
02C2	Common Painting     
02C3	Common Painting     
02C4	Quaint Painting     
02C5	Quaint Painting     
02C6	Quaint Painting     
02C7	Quaint Painting     
02C8	Dainty Painting     
02C9	Dainty Painting     
02CA	Dainty Painting     
02CB	Dainty Painting     
02CC	Amazing Painting    
02CD	Amazing Painting    
02CE	Amazing Painting    
02CF	Amazing Painting    
02D0	Strange Painting    
02D1	Strange Painting    
02D2	Strange Painting    
02D3	Strange Painting    
02D4	Rare Painting       
02D5	Rare Painting       
02D6	Rare Painting       
02D7	Rare Painting       
02D8	Classic Painting    
02D9	Classic Painting    
02DA	Classic Painting    
02DB	Classic Painting    
02DC	Perfect Painting    
02DD	Perfect Painting    
02DE	Perfect Painting    
02DF	Perfect Painting    
02E0	Fine Painting       
02E1	Fine Painting       
02E2	Fine Painting       
02E3	Fine Painting       
02E4	Worthy Painting     
02E5	Worthy Painting     
02E6	Worthy Painting     
02E7	Worthy Painting     
02E8	Pineapple Bed       
02E9	Pineapple Bed       
02EA	Pineapple Bed       
02EB	Pineapple Bed       
02EC	Orange Chair        
02ED	Orange Chair        
02EE	Orange Chair        
02EF	Orange Chair        
02F0	Unused Dresser      
02F1	Unused Dresser      
02F2	Unused Dresser      
02F3	Unused Dresser      
02F4	Lemon Table         
02F5	Lemon Table         
02F6	Lemon Table         
02F7	Lemon Table         
02F8	Apple TV            
02F9	Apple TV            
02FA	Apple TV            
02FB	Apple TV            
02FC	Table Tennis        
02FD	Table Tennis        
02FE	Table Tennis        
02FF	Table Tennis        
0300	Harp                
0301	Harp                
0302	Harp                
0303	Harp                
0304	Cabin Clock         
0305	Cabin Clock         
0306	Cabin Clock         
0307	Cabin Clock         
0308	Train Set           
0309	Train Set           
030A	Train Set           
030B	Train Set           
030C	Water Bird          
030D	Water Bird          
030E	Water Bird          
030F	Water Bird          
0310	Wobbelina           
0311	Wobbelina           
0312	Wobbelina           
0313	Wobbelina           
0314	Unused Monkey       
0315	Unused Monkey       
0316	Unused Monkey       
0317	Unused Monkey       
0318	Slot Machine        
0319	Slot Machine        
031A	Slot Machine        
031B	Slot Machine        
031C	Exotic Bench        
031D	Exotic Bench        
031E	Exotic Bench        
031F	Exotic Bench        
0320	Exotic Chair        
0321	Exotic Chair        
0322	Exotic Chair        
0323	Exotic Chair        
0324	Exotic Chest        
0325	Exotic Chest        
0326	Exotic Chest        
0327	Exotic Chest        
0328	Exotic Lamp         
0329	Exotic Lamp         
032A	Exotic Lamp         
032B	Exotic Lamp         
032C	Caladium            
032D	Caladium            
032E	Caladium            
032F	Caladium            
0330	Lady Palm           
0331	Lady Palm           
0332	Lady Palm           
0333	Lady Palm           
0334	Exotic Screen       
0335	Exotic Screen       
0336	Exotic Screen       
0337	Exotic Screen       
0338	Exotic Table        
0339	Exotic Table        
033A	Exotic Table        
033B	Exotic Table        
033C	Djimbe Drum         
033D	Djimbe Drum         
033E	Djimbe Drum         
033F	Djimbe Drum         
0340	Modern Bed          
0341	Modern Bed          
0342	Modern Bed          
0343	Modern Bed          
0344	Modern Den Chair    
0345	Modern Den Chair    
0346	Modern Den Chair    
0347	Modern Den Chair    
0348	Modern Cabinet      
0349	Modern Cabinet      
034A	Modern Cabinet      
034B	Modern Cabinet      
034C	Modern Desk         
034D	Modern Desk         
034E	Modern Desk         
034F	Modern Desk         
0350	Modern Sofa         
0351	Modern Sofa         
0352	Modern Sofa         
0353	Modern Sofa         
0354	Modern Table        
0355	Modern Table        
0356	Modern Table        
0357	Modern Table        
0358	Blue Bed            
0359	Blue Bed            
035A	Blue Bed            
035B	Blue Bed            
035C	Blue Bench          
035D	Blue Bench          
035E	Blue Bench          
035F	Blue Bench          
0360	Blue Chair          
0361	Blue Chair          
0362	Blue Chair          
0363	Blue Chair          
0364	Blue Dresser        
0365	Blue Dresser        
0366	Blue Dresser        
0367	Blue Dresser        
0368	Blue Bookcase       
0369	Blue Bookcase       
036A	Blue Bookcase       
036B	Blue Bookcase       
036C	Blue Table          
036D	Blue Table          
036E	Blue Table          
036F	Blue Table          
0370	Green Bed           
0371	Green Bed           
0372	Green Bed           
0373	Green Bed           
0374	Green Bench         
0375	Green Bench         
0376	Green Bench         
0377	Green Bench         
0378	Green Chair         
0379	Green Chair         
037A	Green Chair         
037B	Green Chair         
037C	Green Pantry        
037D	Green Pantry        
037E	Green Pantry        
037F	Green Pantry        
0380	Green Counter       
0381	Green Counter       
0382	Green Counter       
0383	Green Counter       
0384	Green Lamp          
0385	Green Lamp          
0386	Green Lamp          
0387	Green Lamp          
0388	Green Table         
0389	Green Table         
038A	Green Table         
038B	Green Table         
038C	Cabin Bed           
038D	Cabin Bed           
038E	Cabin Bed           
038F	Cabin Bed           
0390	Cabin Couch         
0391	Cabin Couch         
0392	Cabin Couch         
0393	Cabin Couch         
0394	Cabin Armchair      
0395	Cabin Armchair      
0396	Cabin Armchair      
0397	Cabin Armchair      
0398	Cabin Bookcase      
0399	Cabin Bookcase      
039A	Cabin Bookcase      
039B	Cabin Bookcase      
039C	Cabin Low Table     
039D	Cabin Low Table     
039E	Cabin Low Table     
039F	Cabin Low Table     
03A0	Aloe                
03A1	Aloe                
03A2	Aloe                
03A3	Aloe                
03A4	Bromeliaceae        
03A5	Bromeliaceae        
03A6	Bromeliaceae        
03A7	Bromeliaceae        
03A8	Coconut Palm        
03A9	Coconut Palm        
03AA	Coconut Palm        
03AB	Coconut Palm        
03AC	Snake Plant         
03AD	Snake Plant         
03AE	Snake Plant         
03AF	Snake Plant         
03B0	Dracaena            
03B1	Dracaena            
03B2	Dracaena            
03B3	Dracaena            
03B4	Rubber Tree         
03B5	Rubber Tree         
03B6	Rubber Tree         
03B7	Rubber Tree         
03B8	Pothos              
03B9	Pothos              
03BA	Pothos              
03BB	Pothos              
03BC	Fan Palm            
03BD	Fan Palm            
03BE	Fan Palm            
03BF	Fan Palm            
03C0	Grapefruit Table    
03C1	Grapefruit Table    
03C2	Grapefruit Table    
03C3	Grapefruit Table    
03C4	Lime Chair          
03C5	Lime Chair          
03C6	Lime Chair          
03C7	Lime Chair          
03C8	Weeping Fig         
03C9	Weeping Fig         
03CA	Weeping Fig         
03CB	Weeping Fig         
03CC	Corn Plant          
03CD	Corn Plant          
03CE	Corn Plant          
03CF	Corn Plant          
03D0	Croton              
03D1	Croton              
03D2	Croton              
03D3	Croton              
03D4	Pachira             
03D5	Pachira             
03D6	Pachira             
03D7	Pachira             
03D8	Cactus              
03D9	Cactus              
03DA	Cactus              
03DB	Cactus              
03DC	Metronome           
03DD	Metronome           
03DE	Metronome           
03DF	Metronome           
03E0	Deer Scare          
03E1	Deer Scare          
03E2	Deer Scare          
03E3	Deer Scare          
03E4	Pine Bonsai         
03E5	Pine Bonsai         
03E6	Pine Bonsai         
03E7	Pine Bonsai         
03E8	Mugho Bonsai        
03E9	Mugho Bonsai        
03EA	Mugho Bonsai        
03EB	Mugho Bonsai        
03EC	Barber's Pole       
03ED	Barber's Pole       
03EE	Barber's Pole       
03EF	Barber's Pole       
03F0	Pondarosa Bonsai    
03F1	Pondarosa Bonsai    
03F2	Pondarosa Bonsai    
03F3	Pondarosa Bonsai    
03F4	Plum Bonsai         
03F5	Plum Bonsai         
03F6	Plum Bonsai         
03F7	Plum Bonsai         
03F8	Giant Dharma        
03F9	Giant Dharma        
03FA	Giant Dharma        
03FB	Giant Dharma        
03FC	Dharma              
03FD	Dharma              
03FE	Dharma              
03FF	Dharma              
0400	Mini-Dharma         
0401	Mini-Dharma         
0402	Mini-Dharma         
0403	Mini-Dharma         
0404	Quince Bonsai       
0405	Quince Bonsai       
0406	Quince Bonsai       
0407	Quince Bonsai       
0408	Azalea Bonsai       
0409	Azalea Bonsai       
040A	Azalea Bonsai       
040B	Azalea Bonsai       
040C	Jasmine Bonsai      
040D	Jasmine Bonsai      
040E	Jasmine Bonsai      
040F	Jasmine Bonsai      
0410	Executive Toy       
0411	Executive Toy       
0412	Executive Toy       
0413	Executive Toy       
0414	Traffic Cone        
0415	Traffic Cone        
0416	Traffic Cone        
0417	Traffic Cone        
0418	Striped Cone        
0419	Striped Cone        
041A	Striped Cone        
041B	Striped Cone        
041C	Orange Cone         
041D	Orange Cone         
041E	Orange Cone         
041F	Orange Cone         
0420	Cola Machine        
0421	Cola Machine        
0422	Cola Machine        
0423	Cola Machine        
0424	Maple Bonsai        
0425	Maple Bonsai        
0426	Maple Bonsai        
0427	Maple Bonsai        
0428	Hawthorn Bonsai     
0429	Hawthorn Bonsai     
042A	Hawthorn Bonsai     
042B	Hawthorn Bonsai     
042C	Holly Bonsai        
042D	Holly Bonsai        
042E	Holly Bonsai        
042F	Holly Bonsai        
0430	Barricade           
0431	Barricade           
0432	Barricade           
0433	Barricade           
0434	Fence               
0435	Fence               
0436	Fence               
0437	Fence               
0438	Plastic Fence       
0439	Plastic Fence       
043A	Plastic Fence       
043B	Plastic Fence       
043C	Fence and Sign      
043D	Fence and Sign      
043E	Fence and Sign      
043F	Fence and Sign      
0440	Soda Machine        
0441	Soda Machine        
0442	Soda Machine        
0443	Soda Machine        
0444	Manhole Cover       
0445	Manhole Cover       
0446	Manhole Cover       
0447	Manhole Cover       
0448	Pop Machine         
0449	Pop Machine         
044A	Pop Machine         
044B	Pop Machine         
044C	Brown Drum          
044D	Brown Drum          
044E	Brown Drum          
044F	Brown Drum          
0450	Green Drum          
0451	Green Drum          
0452	Green Drum          
0453	Green Drum          
0454	Red Drum            
0455	Red Drum            
0456	Red Drum            
0457	Red Drum            
0458	Juice Machine       
0459	Juice Machine       
045A	Juice Machine       
045B	Juice Machine       
045C	Iron Frame          
045D	Iron Frame          
045E	Iron Frame          
045F	Iron Frame          
0460	Trash Can           
0461	Trash Can           
0462	Trash Can           
0463	Trash Can           
0464	Garbage Pail        
0465	Garbage Pail        
0466	Garbage Pail        
0467	Garbage Pail        
0468	Watermelon Chair    
0469	Watermelon Chair    
046A	Watermelon Chair    
046B	Watermelon Chair    
046C	Melon Chair         
046D	Melon Chair         
046E	Melon Chair         
046F	Melon Chair         
0470	Watermelon Table    
0471	Watermelon Table    
0472	Watermelon Table    
0473	Watermelon Table    
0474	Robotic Flagman     
0475	Robotic Flagman     
0476	Robotic Flagman     
0477	Robotic Flagman     
0478	Garbage Can         
0479	Garbage Can         
047A	Garbage Can         
047B	Garbage Can         
047C	Trash Bin           
047D	Trash Bin           
047E	Trash Bin           
047F	Trash Bin           
0480	Violin              
0481	Violin              
0482	Violin              
0483	Violin              
0484	Bass                
0485	Bass                
0486	Bass                
0487	Bass                
0488	Cello               
0489	Cello               
048A	Cello               
048B	Cello               
048C	Ebony Piano         
048D	Ebony Piano         
048E	Ebony Piano         
048F	Ebony Piano         
0490	Zen Basin           
0491	Zen Basin           
0492	Zen Basin           
0493	Zen Basin           
0494	Handcart            
0495	Handcart            
