0000	Flame Shirt         
00AF	No. 4 Shirt         
00B0	No. 5 Shirt         
00B1	No. 23 Shirt        
00B2	No. 67 Shirt        
00B3	BB Shirt            
00B4	Beatnik Shirt       
00B5	Moldy Shirt         
00B6	Houndstooth Tee     
00B7	Big Star Shirt      
00B8	Orange Pinstripe    
00B9	Twinkle Shirt       
00BA	Funky Dot Shirt     
00BB	Crossing Shirt      
00BC	Splendid Shirt      
00BD	Jagged Shirt        
00BE	Denim Shirt         
00BF	Cherry Shirt        
00C0	Gumdrop Shirt       
00C1	Barber Shirt        
00C2	Concierge Shirt     
00C3	Fresh Shirt         
00C4	Far-Out Shirt       
00C5	Dawn Shirt          
00C6	Striking Outfit     
00C7	Red Check Shirt     
00C8	Berry Gingham       
00C9	Lemon Gingham       
00CA	Dragon Suit         
00CB	N64 Logo Shirt      
00CC	Tin Shirt           
00CD	Jester Shirt        
00CE	Pink Tartan         
00CF	Waffle Shirt        
00D0	Gray Tartan         
00D1	Windsock Shirt      
00D2	Trendy Top          
00D3	Green Ring Shirt    
00D4	White Ring Shirt    
00D5	Snappy Print        
00D6	Chichi Print        
00D7	Wave Print          
00D8	Checkerboard Tee    
00D9	Subdued Print       
00DA	Airy Shirt          
00DB	Coral Shirt         
00DC	Leather Jerkin      
00DD	Zebra Print         
00DE	Tiger Print         
00DF	Cow Print           
00E0	Leopard Print       
00E1	Danger Shirt        
00E2	Big Dot Shirt       
00E3	Puzzling Shirt      
00E4	Exotic Shirt        
00E5	Houndstooth Knit    
00E6	Uncommon Shirt      
00E7	Dapper Shirt        
00E8	Gaudy Sweater       
00E9	Cozy Sweater        
00EA	Comfy Sweater       
00EB	Classic Top         
00EC	Vogue Top           
00ED	Laced Shirt         
00EE	Natty Shirt         
00EF	Citrus Gingham      
00F0	Cool Shirt          
00F1	Dreamy Shirt        
00F2	Flowery Shirt       
00F3	Caterpillar Tee     
00F4	Shortcake Shirt     
00F5	Whirly Shirt        
00F6	Thunder Shirt       
00F7	Giraffe Print       
00F8	Swell Shirt         
00F9	Toad Print          
00FA	Grass Shirt         
00FB	Mosaic Shirt        
00FC	Fetching Outfit     
00FD	Snow Shirt          
00FE	Melon Gingham       
