0000	うま
00D2	ピピピピピ
00D3	ださない
00D4	ふつうだよ
00D5	おこった!
00D6	ガックリ・・・
00D7	うれしー!
00D8	ねむー・・・
00D9	さむーい!
00DA	おもしろーい!
00DB	くだらん!
00DC	あるあるー!
00DD	まえに きいたよ
00DE	ちがうって!
00DF	おねがいしまーす
00E0	ほかのいろ
00E1	ちゅうもん したい
00E2	きく
00E3	やらなーい
00E4	ゴメンする
00E5	つれたよ
00E6	つってないよ
00E7	すぐに はじめる
00E8	しばらく まってみる
00E9	ほかのと いれかえる
00EA	おサカナもってきたよ
00EB	むし つかまえたよ!
00EC	アイドルみたい
00ED	それはないね
00EE	あったりまえ
00EF	もちろん!
00F0	デカイ!
00F1	やっぱ、もういちど!
00F2	いれかえる
00F3	にがしてあげる
00F4	ひろうのを やめる
00F5	このまま にがす
00F6	もういちど うめとく
00F7	あげない
00F8	きかせて!
00F9	べつに ない
00FA	もう うらない
00FB	A
00FC	B
00FD	AB
00FE	O
00FF	ほしい!
0100	すき
0101	きらい
0102	そんなの いらない
0103	それなりに
0104	ちょっと ふまん
0105	9かい いか
0106	10から99かい
0107	100かいいじょう
0108	むっちゃ なやむ!
0109	はらいおわった!
010A	ふみたおす!
010B	おいしそー!
010C	ウゲゲー!
010D	スキにすれ!
010E	かいてるよ
010F	かいてない
0110	ぜんぜーん
0111	やったよ
0112	これからやる
0113	スキだー!
0114	なんじゃ こりゃー!
0115	ナイス プレイーッ!
0116	いつもと いっしょ
0117	おうちにいる
0118	おでかけする
0119	おもう おもう!
011A	すごーい!
011B	はれのひ だけ
011C	つくったよ
011D	まだ つくってない
011E	そうかも・・・
011F	あったまんないって!
0120	あと ちょっと
0121	1、2じかんくらい
0122	2、3じかんくらい
0123	ねない!
0124	おしえてあげる
0125	それは ヒミツ
0126	やってない
0127	そうだよね
0128	そんなことない
0129	あるよ
012A	まだ ないの
012B	ねれ ねれ
012C	ねないでよー
012D	へっちゃら!
012E	したい したい!
012F	ぜったい へん!
0130	だいじょうぶ!
0131	ねずみ
0132	うし
0133	とら
0134	うさぎ
0135	たつ
0136	へび
0137	さる
0138	とり
0139	いぬ
013A	いのしし
013B	ひっし
013C	ねこ
013D	すわる
013E	うざき
013F	いいたくない
0140	うしろ
0141	かめ
0142	カエル
0143	ライオン
0144	カブリバ
0145	えきいんさん
0146	おまわりさん
0147	トカゲ
0148	しつじ
0149	ぺりこさん
014A	ぺりみさん
014B	ぺりおさん
014C	どれでもない
014D	たぬきちさん
014E	ハッケミィ
014F	ローラン
0150	グレース
0151	ジョニー
0152	つねきちさん
0153	うおまささん
0154	げつようび
0155	かようび
0156	すいようび
0157	もくようび
0158	きんようび
0159	どようび
015A	にちようび
015B	ぼたんゆき
015C	みぞれ
015D	あられ
015E	ゆきは キライ!
015F	ムリだよ!
0160	いるよ!
0161	しらなーい
0162	あんまりー
0163	やっちゃった・・・
0164	あげるー!
0165	おどりをおしえた
0166	もとから
0167	ごちそうさまー!
0168	どういたしまして!
0169	おやすみー!
016A	あっ ゴメン
016B	あっ まちがえた
016C	ひとちがいでした
016D	よんでみただけ
016E	ようはないです
016F	スノボ
0170	スキー
0171	アイスホッケー
0172	みんな キライ
0173	からだを きたえる
0174	ビタミンCを とる
0175	なんにもしない
0176	なんで?
0177	しつれいな!
0178	おんなじだね
0179	カレー
017A	ひろわない
017B	あったかい いろ
017C	つめたい いろ
017D	しぶい いろ
017E	たぶん・・・
017F	わかんない
0180	ウキをみてるの
0181	つれるしゅんかん
0182	つまんない
0183	まいにち
0184	1かいくらい
0185	どこが?
0186	うるさい
0187	あんたもね
0188	きてみる
0189	もう さしてるよ
018A	サイコー!
018B	ぼちぼち
018C	サイアク!
018D	かさなんて いらない
018E	じゅんび オッケー
018F	まだなの
0190	マツタケがり
0191	やきそば
0192	バーベキュー
0193	なんでもいい
0194	すっぽん
0195	にしきゴイ
0196	ピラニア
0197	ねるの
0198	たべるの
0199	どっちも!
019A	にあってる!
019B	なんか へん
019C	いいひと
019D	かぐ
019E	じゅうたん
019F	かべがみ
01A0	ムシ
01A1	おサカナ
01A2	どっちも いらない
01A3	あ
01A4	お
01A5	め
01A6	ぬ
01A7	4コいじょう
01A8	1～3コ
01A9	もってない
01AA	あそぶ
01AB	あそばない
01AC	するのが いい
01AD	みるのが いい
01AE	きろくして おわる
01AF	きろくして つづける
01B0	ちっちゃい
01B1	ぜんぶ
01B2	ひとつだけ
01B3	ほかのこと
01B4	いいたくない
01B5	ここがいい
01B6	かわったことは?
01B7	どんなカンジ?
01B8	カタログ みせて
01B9	ほかのひと
01BA	1ばんのカード
01BB	2ばんのカード
01BC	3ばんのカード
01BD	4ばんのカード
01BE	Sサイズ
01BF	Mサイズ
01C0	Lサイズ
01C1	きにしなーい
01C2	だからどうした!
01C3	やらないよ
01C4	カタログみせて
01C5	どうして?
01C6	なにゆえ?
01C7	おかねでしょ
01C8	めん
01C9	どう
01CA	こて
01CB	ちょうせんする!
