0000	          \r          \r          \r       Zero\r[close]
000F	[color #1 255 0 0]あか1[color #2 0 255 0]あお2[color #3 0 0 255]あおいろ3\r[color 0 255 0]いろの[color #4 255 0 0]じっけんです[wait]\r[CLS]こころのこえをだします\r[whisper on](こころのこえをだしています)[whisper off]\rこころのこえをだすじっけんおしまい[wait]\r[CLS]ぎょうのオフセットじっけん1\rたいぷ0#7F53 00##7F52 76#あ#7F52 7F#い#7F52 80#う#7F52 81#え#7F52 8A#お\rたいぷ1#7F53 01##7F52 76#あ#7F52 7F#い#7F52 80#う#7F52 81#え#7F52 8A#お\rたいぷ2#7F53 02##7F52 76#あ#7F52 7F#い#7F52 80#う#7F52 81#え#7F52 8A#お[wait]\r[CLS]ぎょうのオフセットじっけん2\rたいぷ0#7F53 00##7F52 00#あ#7F52 40#い#7F52 80#う#7F52 C0#え#7F52 FF#お\rたいぷ1#7F53 01##7F52 00#あ#7F52 40#い#7F52 80#う#7F52 C0#え#7F52 FF#お\rたいぷ2#7F53 02##7F52 00#あ#7F52 40#い#7F52 80#う#7F52 C0#え#7F52 FF#お\r#7F58 1E#
0010	スケールじっけん00\r\rあ[size1 32]い[size1 24]う[size1 16]え[size1 8]お[size1 1]か[wait]\r[CLS]スケールじっけん01\r\rあ[size1 32]い[size1 64]う[size1 127]え[size1 255]お[wait]\r[CLS]スケールじっけん10\rたいぷ0#7F53 00##7F52 76#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ0#7F53 00##7F52 80#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ0#7F53 00##7F52 8A#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お[wait]\r[CLS]スケールじっけん11\rたいぷ1#7F53 01##7F52 76#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ1#7F53 01##7F52 80#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ1#7F53 01##7F52 8A#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お[wait]\r[CLS]スケールじっけん12\rたいぷ2#7F53 02##7F52 76#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ2#7F53 02##7F52 80#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ2#7F53 02##7F52 8A#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お[wait]\r[CLS]スケールじっけんLINE0\rたいぷ[size 16]L0#7F53 00##7F52 76#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ[size 32]L0#7F53 00##7F52 80#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ[size 48]L0#7F53 00##7F52 8A#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お[wait]\r[CLS]スケールじっけんLINE1\rたいぷ[size 16]L1#7F53 01##7F52 76#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ[size 24]L1#7F53 01##7F52 80#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ[size 32]L1#7F53 01##7F52 8A#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お[wait]\r[CLS]スケールじっけんLINE2\rたいぷ[size 32]L2#7F53 02##7F52 76#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ[size 48]L2#7F53 02##7F52 80#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お\rたいぷ[size 64]L2#7F53 02##7F52 8A#あ[size1 32]い[size1 48]う[size1 64]え[size1 16]お[wait]\r[CLS]#7F53 01##7F52 80#[color 0 255 0]あ[color #3 255 0 0]い[size1 64]うえお[wait]\rBGMスタート#7F56 03 00#[wait]\rBGMストップ#7F57 03 00#\rじどうで、とじる。\r#7F58 4B#
0011	き[pause 3]たあーーーー[pause 3]のーーー[pause 29]。[pause 4]\rさ[pause 3]か[pause 3]ば[pause 3]ど[pause 3]お[pause 3]り[pause 3]に[pause 3]はーーーー[pause 30]。[wait]\r[CLS]ずうーーーーーーっと。[sound 0][wait]\r[CLS]きれーーーーなひと。[sound 1][wait]\r[CLS]ええええーーーーーっつ![sound 2][wait]\r[CLS]がおーーーーーーっ。[sound 3][wait]\r[CLS]んんーーーーーっとねーーーー。[sound 4][wait]\r[CLS]たすけてーーーーだれか!![sound 5][wait]\r[CLS]あたしのだーーーーーいすきなひと。[sound 6][wait]\r[CLS]しゃぁーーーーーないな!#7F5B#[wait]\r[CLS]キィーーーーッ![wait]\r[CLS]ドゥ----ン![wait]\r[CLS]シェーーーッ![wait]\r[CLS]ジョォーーーッ![wait]\r[CLS]チュッ![wait]\r[CLS]きゃーーーーーあれ!!#7F5B#[wait]\r[CLS]シューーーーーっといこう![wait]\r[CLS]しょーーーーーがないな![wait]\r[CLS]サッカーでもやってみっか![wait]\r[CLS][quick on][player]!\r[player]ー!!\r[player]ーーーー!!!\r[player][pause 3]ー[pause 3]ー[pause 3]ー[pause 3]ー[pause 3]?[wait]\r[CLS][player]ーーーー\rーーーー![wait]\r[CLS]ガビーーー\rーーーーーーーー\rーーーーーーーーーーーーーーー\rーーーーーーーーーーーーーーン\r[close]
0012	どれをえらぶ?[menu 00D7 00D8 00B3][wait]#7F0D#[selected 1 000D][selected 2 000E][selected 3 0009][jump2sel]\r[open]
0013	おはようございますー!\rあさから、あたらしいおともだちが\rできるなんて、うれしい[nickname]!\r\r[wait]\r[CLS]わたしは、[speaker]っていうの\r[player]さん!\rこれから、\rなかよくしてください[nickname]!\r[open]
0014	こんにちわでーす!\rおあいするの、はじめてよね?\rおともだちがふえて\rうれしい[nickname]!\r[wait]\r[CLS]わたしは、[speaker]。\r[player]さん、\rこれから、ずーーーーっと\rなかよくしてほしい[nickname]!\r[open]
0015	こんばんわでーす!\rあっ、しらないひと[nickname]!\rってことは、えっと\rはじめまして!\r[wait]\r[CLS]わたし、[speaker]っていうの。\r[player]さんとは\rなかよしになれそうな\rきがする[nickname]!\r[open]
0016	こんなじかんに しらないひとに\rあうなんて、 ちょっとこわーい!\rでも、このくににわるいひとなんて\rいないとおもうし・・・\r[wait]\r[CLS]んっと、はじめましてぇ!\rわたし、[speaker]です。\rよろしくおねがいしますね\r[player]さん!\r[open]
0017	おっはよー! \rあらぁ、しらないひとじゃん!\rはじめましてだよね!\r\r[wait]\r[CLS]アタシは、[speaker]っていうの\rアンタ、みたかんじわるいひとじゃ\rなさそうだしぃ\rおともだちになったげる[nickname]!\r[open]
0018	こんにちは!\rなにきんちょうしてんのよぉ!\rはつたいめんだからって\rきんちょうしないでよぉ!\r[wait]\r[CLS]アタシ、[speaker]だよ!\rアンタとは、ともだちになれそうな\rきがする[nickname]!\rよろしくね、[player]!\r[open]
0019	こんばんは!\rあれぇ?はじめましてだよねぇ!\rアタシは、[speaker]っていうの\rあそこのいえにすんでるんだぁ!\r[wait]\r[CLS]ふーん、アンタは\r[player]ちゃんっていうんだぁ\rオッケー! いつでもこえかけてよ!\rなかよくして[nickname]!\r[open]
001A	なんなのよぉ!\rこんなよなかにぃ!\rねむいじゃん!\rはつたいめんなのにさぁ!\r[wait]\r[CLS]ちょっとずうずうしいんじゃない?\rしらないひとに こえかけるときは\rもうすこし、えんりょするもんよ!\rまよなかなんだからぁ・・・\r[wait]\r[CLS]もう、しょうがないなぁ・・・\rアタシは[speaker]っていうの\rきょうのことは、ゆるしたげるわ!\rこれからよろしく[nickname]!\r[open]
001B	ふぁー・・・おはよぉ。\rいまなんじだろ、ねむいよぉ・・・\rところで、きみ、だぁれ?\r\r[wait]\r[CLS]ふぁー・・・はじめまして\rこれから よろしくね。\rあぁ、ボクは[speaker]って\rいうんだ[nickname]・・・\r[open]
001C	こんにちわぁ。\rはじめてあうひとだよねぇ\rってことは、うー・・・\rは、はじめまして!\r[wait]\r[CLS]ボクは、[speaker]だ[nickname]!\rこのすぐちかくに\rすんでるんだ[nickname]\rまた、あそびにきて[nickname]\r[open]
001D	みたことのないひとだ[nickname]!\rでも、わるいひとじゃなさそうだし\rちゃんと、あいさつしないと・・・\r\r[wait]\r[CLS]は、は、はじめましてー!\r[speaker]ですぅ・・・\rこれからずーーーーっと\rなかよくしてほしい[nickname]!\r[open]
001E	ふぁぁぁ、もうねむいよぉ・・・\rあぁ、はじめてあうひとだねぇ\rはじめまして、こんばんは!\r\r[wait]\r[CLS]あんまりよるおそくに\rうろつきまわっても、\rあんまりいいことは\rないとおもう[nickname]\r[wait]\r[CLS]でも、そんなことは\rきみのかってだね。\rあぁ、ボクは[speaker]って\rいうんだ。 なかよくしてね。\r[open]
001F	やぁ、おはよう。\rついでに、はじめましてだね!\rはやおきは、3もんのとくって\rいうけど\r[wait]\r[CLS]はやおきして、あたらしい\rともだちができるなんて\rラッキーこのうえないよな!\r\r[wait]\r[CLS]あぁ、オレのなまえは\r[speaker]っていうんだ\rよろしく[nickname]!\r\r[open]
0020	やぁ、はじめまして!\rオレは、[speaker]ってんだ。\rすぐきんじょにすんでるんだぜ。\rこれから、なかよくしような!\r[wait]\r[CLS]おまえは、[player]くんか\rなんか、へんななまえだな\rでも、おぼえやすくって\rいいかもしれない[nickname]\r[open]
0021	やあ、こんばんは。\rいままでに、あったことって\rないよな?\rじゃ、じこしょうかいだ!\r[wait]\r[CLS]オレのなまえは\r[speaker]っていうんだ!\r[nickname]っていっちゃうのが\rくせなんだ[nickname]!\r[wait]\r[CLS]なるべく なおそうと\rおもってるんだけど\rどうしても でちゃう[nickname]\rおおめにみてほしい[nickname]!\r[open]
0022	ふぁぁ・・・ ねむたぁー!\rこんばんは、はじめまして。\rおれ、[speaker]ってんだ!\r\r[wait]\r[CLS]はつたいめんで なんだけど\rこんなよなかに そとを\rうろついてるなんて、おまえ\rへんなやつだ[nickname]!\r[wait]\r[CLS]まぁ、へんなやつは\rきらいじゃないし、\rこれから よろしく[nickname]!\r\r[open]
0023	・・・・・・・・・・・・\rうるせぇな!\rあさは、きげんわりぃんだよ!\rあっちいっと・・・\r[wait]\r[CLS]んん? おめぇさん\rしらねぇかおだなぁ!\rせっかくあいさつしてくれたのに\rわるかったな。\r[wait]\r[CLS]まぁ おおめにみてくれや。\rおれは[speaker]だ。\rよろしくたのむぜ。\r\r[open]
0024	ひるまっから、しごともしねぇで\rうろうろしてる おめぇさんは\rいったいなにものだい?\r\r[wait]\r[CLS]おっと、おせっかいは、\rやめとこうか!\rひとにゃぁ ふれてほしくねぇ\rこともあるだろうからなぁ・・・\r[wait]\r[CLS]そでふれあうもたしょうのえん\rっていうしな。 \rおめぇさんとめぐりあったのも\rなんかのえんかもしれねぇ\r[wait]\r[CLS]まぁ、ひとつ\rよろしくたのまぁ!\r\r\r[open]
0025	まだ よいのくちとはいえ\rもう、くらくなってきたぜ\rおこちゃまは、おうちにけぇんな!\r・・・\r[wait]\r[CLS]おっと、またおせっかいを\rやいちまったぜ。 フー・・・\rはじめてあったひとに\rしつれいなこと しちまったなぁ\r[wait]\r[CLS]へへ、きょうのところは\rおおめにみてくんな!\rながいつきあいに\rなるかもしれねぇしなぁ!\r[open]
0026	おいおい、かたぎのもんが\rうろうろしていていいじかんは\rとっくにおわってるんだぜ!\rさっさと、けぇりな!\r[wait]\r[CLS]・・・っと、 またやっちまった。\rしらねぇひとに\rこんなこといっちゃあ\rしつれいってぇもんだよなぁ!\r[wait]\r[CLS]おめぇさん なまえは?\r・・・\rあぁ [player]ってぇのかい\rなまえもおしえてもらったし\r[wait]\r[CLS]もう しらねぇなかじゃねぇし\rいわせてもらうぜ!\rさっさと、おうちにけぇって\rふとんにはいって、ねちまいな!\r[open]
0027	あさはようからなんや?\rあら? うちのしらんひとやわ!\rおともだちになりたいんか?\r\r[wait]\r[CLS]うちも おともだちがふえるんは\rだいかんげいや!\rなかようしてな!!\r\r[open]
0028	ん? なんや?\rしゅうきょうのかんゆうなら\rおことわりやでぇ!\rえ? ちゃうの?\r[wait]\r[CLS]そんならそうと、はよいいな!\rなんや、おともだちになりたいの?\rええよ、だいかんげいや!\rうちは、[speaker]っていうんや\r[wait]\r[CLS]アンタは,[player]ちゃんやな。\rこれから、なかようしてな!\r\r\r[open]
0029	なんや? なんかようか?\rしんぶんなら とってるでぇ!\rちがう? ほんならなによ?\r・・・\r[wait]\r[CLS]なぁんやぁ!\rおともだちがほしいんか!\rアンタ,ともだちすくないん?\rしゃあないなぁ、まかしとき!\r[wait]\r[CLS]うちが、なかようしてあげる!\rうちのなまえは、[speaker]や\rいつでも、あそびにきいや!\r\r[open]
002A	だれや、こんなじかんに!\rむちゃむちゃ あやしいやんか!\rふつうやったら、こんなじかんに\rはなしかけられたら ビビるでぇ!\r[wait]\r[CLS]まぁな、うちはなれてるし\rどうもないけどな。\rところで、アンタだれや?\rまさか、うちをラチするきぃか?\r[wait]\r[CLS]やっぱ、アブナイやつやんか!\r・・・えっ? ちゃうの?\rそれやったらそうと、さいしょに\rいわなあかんやんか!\r[wait]\r[CLS]こっちにも、こころのじゅんびって\rもんがあるんよ。で、なに?\rなかよくしてほしいの?\rへんなひとやねぇ。まぁええわ。\r[wait]\r[CLS]うちは、[speaker]ゆうねん。\rまぁ、さみしくなったら\rいつでもあそびにおいで!\rえんりょせんといてなぁ!\r[open]
002B	おはようござ・・・・・\rあれぇ!\r[player]さんじゃない!\rわたしのこと、おぼえてる?\r[wait]\r[CLS][speaker]よ!\rまえに[string 7]にいたとき\rあったことがあるのよ!\rなつかしいねぇ!\r[wait]\r[CLS]こんなところで、またあえるなんて\rすっごい、ぐうぜん[nickname]!\rまたなかよくしてね!\r[open]
002C	こんにち・・・・・\rあれぇ!\rあなた、[player]さんでしょ?\rわたしのこと、わすれちゃった?\r[speaker]よ!\r[wait]\r[CLS]わたしが[string 7]にいたころ\rあったことがあるのよ!\rでも、おぼえてないわよねぇ・・・\r\r[wait]\r[CLS]こんなところで、またあえるなんて\rきっと かみさまのイタズラね!\rまたなかよくして[nickname]!\r[open]
002D	こんばん・・・・・\rあれぇ!\r[player]さんじゃない!\rすっごいひさしぶりよね!\r[wait]\r[CLS]まえに[string 7]で\rあったことがあるんだけど\rわたしのこと、おぼえてなぁい?\r[speaker]っていうんだけど。\r[wait]\r[CLS]おぼえてないのもむりないわよね\rだって、1かげついじょうも\rあわなかったんですもの!\rまたなかよくして[nickname]!\r[open]
002E	あれぇ!\rこんなじかんに\rだれかとおもったら\r[player]さんじゃない!\r[wait]\r[CLS]すっごいひさしぶりよね!\rわたしのこと、おぼえてる?\rわすれちゃったの?\r[speaker]よ!\r[wait]\r[CLS]まえに[string 7]に\rいたころ、あったことがあるのよ。\rまた、あのころみたいに\rなかよくして[nickname]!\r[open]
002F	おっはよー・・・・・・!\rわぁ![player]ちゃん!\rなっつかしいねぇー!\rねぇねぇ! おぼえてるぅ?\r[wait]\r[CLS]アタシ[speaker]だよぉ、\rわすれちゃった?\rまえに、[string 7]にいたとき\rあったことがあるんだよ!\r[wait]\r[CLS]こんなところで、またあえるなんて\rすっごいぐうぜんだよねぇ!\rまた、あのころみたいに\rなかよくして[nickname]!\r[open]
0030	こんにちわー・・・って、わぁ!\r[player]ちゃんじゃん!\rこんなとこで、なにしてんの?\rアタシよアタシ!\r[wait]\r[CLS][speaker]よ! おぼえてなぁい?\rわすれちゃっても、しかたないかぁ!\rだって、まえにあったの\r1かげついじょうもまえだもん!\r[wait]\r[CLS]それも、[string 7]にいたとき!\rね、ふつうおぼえてないよぉ!\rでもさぁ、なんか、うれしいよねぇ!\rまたなかよくして[nickname]!\r[open]
0031	こんばんわぁわぁわぁー!\rビックリしたぁ!\r[player]ちゃんじゃん!\rひさしぶりー!\r[wait]\r[CLS]えぇ? おぼえてないのぉ?\rまえに[string 7]にいたころ\rなかよくしてたんだけどなぁ・・・\rわすれちゃうなんて、ちょいブルー!\r[wait]\r[CLS]アタシは[speaker]!\rおもいだした?\rまぁいいわ、あのころみたいに\rまた、なかよくして[nickname]!\r[open]
0032	こんなよなかに、うろうろして\rあやしいやつ!\rみたことないかおだし・・・ん?\rどっかでみたようなきも・・・\r[wait]\r[CLS]あーーーーーっ! おもいだした!\rアンタ、[player]ちゃんだね!\rこんなとこで、なにしてんのよ!\rひさしぶりじゃーん!\r[wait]\r[CLS]あら?アタシのことおぼえてない?\r[string 7]にいたとき\rよくおはなししたじゃん!\r[speaker]よぉ、おもいだして!\r[wait]\r[CLS]でもさぁ、こんなとこで\rあうなんて、きせきだよね!\rまた、まえみたく\rなかよくして[nickname]!\r[open]
0033	ふぁぁぁぁ、ねむたぁ・・・\rおはよ・・・・・・\rわっ! ビックリしてめがさめた!\r\r[wait]\r[CLS]だれかとおもったら\r[player]じゃないのぉ!\rボクが[string 7]にいたとき\rいらいだから・・・ \r[wait]\r[CLS]おーっ!すっごいひさしぶりだぁ!\rこんなところで、またあえるなんて\rおもってもみなかったよぉ!\rほんと、うれしい[nickname]\r[wait]\r[CLS]これからまた\rなかよくしてほしい[nickname]\r\r\r[open]
0034	ん? あれぇ?\rなぁんか、みおぼえがあるような\rないような・・・\rどこであったんだっけなぁ・・・\r[wait]\r[CLS]あ! うん? うーん・・・\rおーっ、おもいだしたぁ!\r[string 7]にいたときに\rおはなししたことあるよねぇ!\r[wait]\r[CLS]たしか、えーっと・・・\r[player]だったよね!\rね、そうだよね!\rなつかしいなぁー!\r[wait]\r[CLS]ボクね、[town]に\rひっこしてきたんだぁ\rいつまでここにすむかは\rわかんないけど\r[wait]\r[CLS]また、なかよくしてね\rよろしく[nickname]!\r\r\r[open]
0035	こんにちわぁ はじめまして。\r・・・・・\rあれ? はじめましてだっけ?\rなぁんか、みおぼえがあるぞぉ\r[wait]\r[CLS]えーっとねぇ、あてるから\rいわないでよぉ・・・\rあ、おもいだした!\r[string 7]にいたときに\r[wait]\r[CLS]なかよくしてた、[player]だ!\rあたったでしょう!\rなつかしいよねぇ・・・\rまたなかよくして[nickname]!\r[open]
0036	ふぁぁぁぁぁ、ねむー・・・\rこんなよふけに、だれだよぉ・・・\rボクのしりあいには、そんな\rひじょうしきなひとは、いないぞぉ\r[wait]\r[CLS]いや、ひとりだけいたなぁ\rまえに[string 7]いたころの\rしりあいで、\r[player]っていうヤツ。\r[wait]\r[CLS]いまごろなにしてるかなぁ・・・\r\rって、きみ[player][nickname]!\rこんなところで、なにしてるの!\r[wait]\r[CLS]しばらくぶりだねぇ\rげんきだった?\rまた、こうしてはなせるなんて\rおもってなかったよぉ!\r[wait]\r[CLS]また、まえみたく\rなかよくできるかなぁ?\rなかよくしてほしい[nickname]!\rよろしく[nickname]!\r[open]
0037	またきょうも、1にちがはじまるな\r[player]くん!\r・・・\rん? [player]くん?\r[wait]\r[CLS]なんだとぉ!\rおまえ[player]くんか!\rいったいどうしたんだ!\rひさしぶりだなぁ!\r[wait]\r[CLS]オレが[string 7]にいたとき\rいらいだから、[string 8]かげつぶりか!\rこんなところで またあうとは\rオレたち、くされえんだな!\r[wait]\r[CLS]くされえんついでに\rこれからも たのしくやろうな!\r\r\r[open]
0038	やぁ こんにちは!\rはじめまして・・・\r\r\r[wait]\r[CLS]じゃないじゃないか!\rおまえ、[player]だろ!\rオレだよオレ![speaker]だよ!\r\r[wait]\r[CLS]なんだよ、なんだよぉ!\rちっとも かおみせないで\rなにやってたんだよ!\rなつかしいなぁ!\r[wait]\r[CLS][string 8]かげつまえに\r[string 7]であっていらいだぞ!\rおれがひっこしたの\rしらなかったのか?\r[wait]\r[CLS]まあいいや、\rこうしてまた あえたしな!\rこれからも、なかよくやろうぜ!\r\r[open]
0039	へい! だれかとおもったら\r[player]じゃないか!\rすっごい ひさしぶりだなぁ!\r\r[wait]\r[CLS]まえにあったのは、まだオレが\r[string 7]にいたころだから\rかれこれ[string 8]かげつまえだぜ!\r\r[wait]\r[CLS]ここでさいかいできたのも\rなにかのえんだろ、\rまた、まえみたいに\rなかよくしようぜ! なっ!\r[open]
003A	こんなじかんに、こんなばしょを\rウロウロしてるやつに\rろくなヤツはいないとおもったら\rやっぱりおまえか![player]!\r[wait]\r[CLS]オレだよオレ![speaker]だよ!\rわすれちまったのかい?\r[string 7]にすんでたころ\rよくはなしをしたじゃないか!\r[wait]\r[CLS]まぁ、おぼえていないのも\rむりないかもな。\rさいごにあってから もう\r[string 8]かげつだからなぁ・・・\r[wait]\r[CLS]オレだって、こえをかけられるまで\rわすれてたもんな!ははははは!!\rしらないなかじゃないし、\rまた、なかよくしてくれよな!\r[open]
003B	あさっぱらから\rギャーギャーさわぎやがって\rどこのどいつでぇ!\rんん?\r[wait]\r[CLS]お、お、おめぇは、[player]!\rどこで、なにしてやがったんでぇ!\rひさしぶりじゃねぇかよぉ!\rもう[string 8]かげつぶりだぜぇ!\r[wait]\r[CLS][string 7]であったときより\rすこし、ふとったんじゃねぇか?\rははは、じょうだんでぇ!\rちっとも、かわってねぇよ!!\r[wait]\r[CLS]こちとら ながれもんだ。\rいつまでここにいるかは\rわからねぇが、\rまぁ よろしくたのまぁ!\r[open]
003C	おぉ、おめぇは、[player]!\rしばらくみねぇうちに\rりっぱになったじゃねぇか!\rオレのほうは、あいかわらずよ。\r[wait]\r[CLS]それにしても、[string 7]で\rあったのがさいごだよなぁ・・・\rすげぇむかしのことみてぇだ・・・\rむりもねぇか、かんがえてみりゃあ\r[wait]\r[CLS]おめぇにあうのも\r[string 8]かげつぶりだからなぁ。\rこれもなにかのえんってぇもんでぇ\rまた、よろしくたのむぜ!\r[open]
003D	・・・・・・・・!\rだれかとおもえば\r[player]じゃねぇか!\r[wait]\r[CLS]あんまりひさしぶりなんで\rこえがでなかったぜぇ!\rあんまり ひとを\rおどろかすもんじゃねぇぜ!\r[wait]\r[CLS]いってぇ、どんくらい\rあってなかったんでぇ?\rうーん、[string 7]で\rあったっきりだったからなぁ・・・\r[wait]\r[CLS]かれこれ[string 8]かげつぶりってとこか\rそんだけのじかんをへて\rこんなとこで さいかいするたぁ\rオレたちのきずなってやつかのぉ!\r[wait]\r[CLS]はーっはっはっはっは!\rじょうだんでぃ!\rなにテレてやがんでぃ!\r\r[open]
003E	こんなじかんに であるきやがって\rどんなツラしてんのかとおもったら\rおめぇ、[player]じゃねぇか!\r\r[wait]\r[CLS]よなかにであるくくせは\rなおってねぇみてぇだな!\rにくしょくどうぶつに\rくわれちまっても、しらねぇぜ!\r[wait]\r[CLS]それにしても\rひさしぶりじゃねぇか!\r[string 7]にいたときは\rせわんなったな!\r[wait]\r[CLS]オレがここに ひっこしたことは\rしらなかったみてぇだな。\rどこにひっこすかも、いわねぇで\rきちまったからなぁ・・・\r[wait]\r[CLS]こうして、めぐりあえたのも\rなにかのえんみてぇだ。\rまたちょくちょく\rこえ かけてくんな。\r[open]
003F	おはようさん!\r・・・アンタ・・・\rアンタ、[player]やろ!\rこんなとこで、なにしてんの!\r[wait]\r[CLS]いやー!ひさしぶりやないの!\rどんくらいぶり?\rえぇ! [string 8]かげつぶりかいな!\r\r[wait]\r[CLS]ずいぶんながいこと\rおうてへんかったんやねぇ!\rまえにあったんは\r[string 7]やったなぁ・・・\r[wait]\r[CLS]なつかしいともだちと\rぐうぜんさいかいするのって\rなんか、ええもんやねぇ・・・\r\r[open]
0040	あら、アンタ!\r[player]ちゃうの?\rほぉら、やっぱりそうや\rみおぼえあるかおやおもってん!\r[wait]\r[CLS]うちのこと、おぼえてる?\rほら、[string 7]にいたとき\rなかようしてたやないの\rわすれたんかいな!\r[wait]\r[CLS][speaker]や[speaker]!\rこんどわすれたら\rしょうちせぇへんでぇ!\rまぁ、きょうのところは\r[wait]\r[CLS]ふたりのさいかいにめんじて\rゆるしたるわ!\r\r\r[open]
