0000	テストもじれつ1
0235	エンゼルフィッシュ
0236	グッピー
0237	でめきん
0238	シーラカンス
0239	だロボ
023A	ですわよ
023B	だワニ
023C	だぴょん
023D	ですじゃ
023E	だトラ
023F	だガー
0240	なのぉー
0241	でアリ
0242	だモン
0243	だコアラ
0244	だがや
0245	ククッ
0246	アラ
0247	だヒヒン
0248	タコ
0249	だオン
024A	やんけ
024B	ですばい
024C	かしら
024D	のこころ
024E	だベア
024F	ですサイ
0250	だチョー
0251	だメカ
0252	だフン
0253	でヤンキ
0254	てゆーか
0255	ッハ
0256	っきょ
0257	ッポン
0258	だワイ
0259	ッキーッ
025A	ゲロッパ
025B	だゴリ
025C	ウホウホ
025D	コング
025E	みかん
025F	ムホッ
0260	はにょ
0261	だっち
0262	だゼ
0263	ぃよぉー
0264	ウフーン
0265	にゃは
0266	ダァーッ
0267	まろ
0268	ニンニン
0269	じゃろ
026A	だペン
026B	ペンペン
026C	グワッ
026D	ね!ママ
026E	ぎょぎょ
026F	イェーイ
0270	とほほ
0271	ザーマス
0272	がってん
0273	ルンルン
0274	らしいよ
0275	てやんで
0276	どもども
0277	じゃない
0278	だポン
0279	さぶー
027A	ウフフ
027B	だもん
027C	あそばせ
027D	つんっ
027E	フンッ
027F	ワンツー
0280	プリリン
0281	そうです
0282	グー
0283	キュン
0284	んだ
0285	ワォー
0286	ファイト
0287	やーねぇ
0288	キッ
0289	ピカッ
028A	うっふん
028B	ガジガジ
028C	でごわす
028D	たもれ
028E	ふんっ
028F	フフ
0290	ちぇっ
0291	でチュン
0292	コッコ
0293	エヘ
0294	ブヒッ
0295	カラカラ
0296	バサバサ
0297	チェキ
0298	ウラ
0299	だクマ
029A	んもう
029B	んとんと
029C	わぉ
029D	mm
029E	cm
029F	m
02A0	km
02A1	よいひとあらわる
02A2	りょうえんがえられる
02A3	みゃくアリ
02A4	たかのぞみしすぎ
02A5	もっとドリョクを
02A6	たまのこしにのれる
02A7	ほかのむらで であい
02A8	まだまだサキのはなし
02A9	2たくをせまられる
02AA	じょうじゅせず
02AB	ふくえんのよかん
02AC	よりどりみどり
02AD	えりごのみはするな
02AE	こんどはダイジョウブ
02AF	2またちゅうい!
02B0	よこれんぼにちゅうい
02B1	かなうでしょう
02B2	あきらめましょう
02B3	らいねんには・・・
02B4	なんでもOK
02B5	それはムリです
02B6	かなう・・・かも?
02B7	さぁ どうでしょう?
02B8	がんばりしだい
02B9	ねがいをしぼろう
02BA	50:50
02BB	いつか かなう
02BC	ゆめが げんじつに
02BD	もう かなってる!?
02BE	かほうは ねてまて
02BF	きっと かなう
02C0	ムリィィィィィィィ!
02C1	だいきち
02C2	ちゅうきち
02C3	きち
02C4	きょう
02C5	よび
02C6	よび
02C7	よび
02C8	よび
02C9	よび
02CA	びょうきしらず
02CB	カゼにちゅうい
02CC	うでたて100かい
02CD	きぶんそうかい!
02CE	よふかしきんし
02CF	きりょくじゅうじつ
02D0	ちゅうにくちゅうぜい
02D1	そうけん もんくなし
02D2	まいにち はみがき
02D3	やまいは きから
02D4	しょくあたりちゅうい
02D5	もんだいなし
02D6	ダイエットちゅうい
02D7	すいぶん ほどほどに
02D8	いうことなし
02D9	ちりょうは はやめに
02DA	うまくいきそう
02DB	カブにちゅうい
02DC	ライバルにせりかつ
02DD	かぐあつめがキチ
02DE	すべてうまくいく
02DF	そのひぐらし
02E0	おくまんちょうじゃ!
02E1	しっぱいをおそれずに
02E2	あしでかせごう
02E3	ムリせずマイペースで
02E4	じょうしょうけいこう
02E5	カブがうりごろ!?
02E6	ふかくなやまずに
02E7	てんきがかならずくる
02E8	あかじをかくごして
02E9	たんきはそんき
02EA	あきカン
02EB	ながぐつ
02EC	タイヤ
02ED	よび
02EE	よび
02EF	よび
02F0	よび
02F1	よび
02F2	よび
02F3	よび
02F4	ケードロ
02F5	カンけり
02F6	オニごっこ
02F7	ゴムとび
02F8	ビーダマ
02F9	メンコ
02FA	ベーゴマ
02FB	ケンダマ
02FC	おてだま
02FD	あやとり
02FE	おりがみ
02FF	ヨーヨー
0300	ドッジボール
0301	さんかくベース
0302	かくれんぼ
0303	キックベース
0304	カゲふみ
0305	おはじき
0306	たけうま
0307	シャボンだま
0308	たこあげ
0309	わなげ
030A	いろオニ
030B	いしけり
030C	なわとび
030D	キャッチボール
030E	だるまおとし
030F	ぬりえ
0310	かるた
0311	すごろく
0312	ふくわらい
0313	コマまわし
0314	めだまやき
0315	オムライス
0316	ロールキャベツ
0317	ハンバーグ
0318	カレーライス
0319	グラタン
031A	ドリア
031B	てうちそば
031C	なべやきうどん
031D	ポトフ
031E	トムヤムクン
031F	プリン
0320	いちごケーキ
0321	スパゲッティ
0322	ピラフ
0323	パエリア
0324	ちゃわんむし
0325	コロッケ
0326	マドレーヌ
0327	アップルパイ
0328	パンプキンパイ
0329	ピザ
032A	ちくぜんに
032B	にくじゃが
032C	エビチリ
032D	ホイコーロー
032E	エビフライ
032F	カレイのにつけ
0330	タコス
0331	コーヒームース
0332	エスカルゴ
0333	ちらしずし
0334	やきゅう
0335	サッカー
0336	ピンポン
0337	バレーボール
0338	ソフトボール
0339	ラグビー
033A	ラクロス
033B	ホッケー
033C	じゅうどう
033D	ボクシング
033E	けんどう
033F	テニス
0340	ゴルフ
0341	バスケットボール
0342	すいきゅう
0343	ハンドボール
0344	バドミントン
0345	テコンドー
0346	ボーリング
0347	レスリング
0348	フェンシング
0349	プロレス
034A	すもう
034B	アーチェリー
034C	マラソン
034D	たいそう
034E	トランポリン
034F	スイミング
0350	カーリング
0351	スケート
0352	クリケット
0353	アイスホッケー
0354	あまかった
0355	からかった
0356	しょっぱかった
0357	すっぱかった
0358	にがかった
0359	かたかった
035A	やわらかかった
035B	コゲくさかった
035C	あまかった
035D	からかった
035E	しょっぱかった
035F	すっぱかった
0360	にがかった
0361	かたかった
0362	やわらかかった
0363	コゲくさかった
0364	あまかった
0365	からかった
0366	しょっぱかった
0367	すっぱかった
0368	にがかった
0369	かたかった
036A	やわらかかった
036B	コゲくさかった
036C	あまかった
036D	からかった
036E	しょっぱかった
036F	すっぱかった
0370	にがかった
0371	かたかった
0372	やわらかかった
0373	コゲくさかった
0374	イケイケだった
0375	かわいかった
0376	きたなかった
0377	きれいだった
0378	めいわくだった
0379	サイコーだった
037A	サイテーだった
037B	まぁまぁだった
037C	めずらしかった
037D	ラッキーだった
037E	しあわせだった
037F	ガッカリだった
0380	ぜんぜんだった
0381	かくべつだった
0382	ハッピーだった
0383	よかった
0384	イヤだった
0385	まんぞくだった
0386	ふまんだった
0387	サイアクだった
0388	あっぱれだった
0389	おとくだった
038A	おおぞんだった
038B	なかなかだった
038C	イマイチだった
038D	ステキだった
038E	うつくしかった
038F	いいかんじだった
0390	やなかんじだった
0391	イケてた
0392	ナイスだった
0393	ゲンナリだった
0394	クラシック
0395	ポップス
0396	ジャズ
0397	フュージョン
0398	ロック
0399	えんか
039A	なつメロ
039B	みんよう
039C	ヒップホップ
039D	カントリー
039E	どうよう
039F	フォーク
03A0	ウエスタン
03A1	シャンソン
03A2	マーチ
03A3	ワルツ
03A4	サルサ
03A5	マンボ
03A6	レゲエ
03A7	タンゴ
03A8	ララバイ
03A9	ボサノバ
03AA	ブルース
03AB	ソウル
03AC	テクノ
03AD	ラブソング
03AE	サンバ
03AF	ヒップホップ
03B0	ユーロビート
03B1	バラード
03B2	エチュード
03B3	かようきょく
03B4	ブー
03B5	へん
03B6	サイテー
03B7	ダメダメ
03B8	ぜんぜん
03B9	ゲンナリ
03BA	イマイチ
03BB	ゲッソリ
03BC	ガッカリ
03BD	ヤなカンジ
03BE	ヘンテコ
03BF	ハズレ
03C0	ブッブー
03C1	バッテン
03C2	サイアク
03C3	しっぱい
03C4	ブー
03C5	へん
03C6	サイテー
03C7	ダメダメ
03C8	ぜんぜん
03C9	ゲンナリ
03CA	イマイチ
03CB	ゲッソリ
03CC	ガッカリ
03CD	ヤなカンジ
03CE	ヘンテコ
03CF	ハズレ
03D0	ブッブー
03D1	バッテン
03D2	サイアク
03D3	しっぱい
03D4	びみ
03D5	ほっぺおちそう
03D6	サイコー
03D7	Good
03D8	バッチリ
03D9	まんぷく
03DA	ナイス
03DB	ゲキうま
03DC	まんぞく
03DD	びみ
03DE	ほっぺおちそう
03DF	サイコー
03E0	Good
03E1	バッチリ
03E2	まんぷく
03E3	ナイス
03E4	ゲキうま
03E5	まんぞく
03E6	びみ
03E7	ほっぺおちそう
03E8	サイコー
03E9	Good
03EA	バッチリ
03EB	まんぷく
03EC	ナイス
03ED	ゲキうま
03EE	まんぞく
03EF	びみ
03F0	ほっぺおちそう
03F1	サイコー
03F2	Good
03F3	バッチリ
03F4	ケッサク
03F5	きれい
03F6	サイコー
03F7	グッド
03F8	アタリ
03F9	じょうじょう
03FA	ナイス
03FB	グレイト
03FC	あっぱれ
03FD	なかなか
03FE	カンペキ
03FF	ステキ
0400	バッチリ
0401	まんぞく
0402	イイかんじ
0403	はなまる
0404	ケッサク
0405	きれい
0406	サイコー
0407	グッド
0408	アタリ
0409	じょうじょう
040A	ナイス
040B	グレイト
040C	あっぱれ
040D	なかなか
040E	カンペキ
040F	ステキ
0410	バッチリ
0411	まんぞく
0412	イイかんじ
0413	はなまる
0414	コーヒー
0415	こうちゃ
0416	ミルクティー
0417	レモンティー
0418	カフェオレ
0419	カプチーノ
041A	ミルク
041B	レモネード
041C	ソーダ
041D	メロンソーダ
041E	りょくちゃ
041F	コーラ
0420	オレンジジュース
0421	バナナジュース
0422	リンゴジュース
0423	グレープジュース
0424	ミックスジュース
0425	むぎちゃ
0426	ココア
0427	おみず
0428	コーヒーぎゅうにゅう
0429	アイスコーヒー
042A	こぶちゃ
042B	ウーロンちゃ
042C	あおじるジュース
042D	コーヒー
042E	こうちゃ
042F	ジュース
0430	おちゃ
0431	ミネラルウォーター
0432	インスタントコーヒー
0433	まっちゃ
0434	あかいろ
0435	オレンジいろ
0436	きいろ
0437	きみどりいろ
0438	みどりいろ
0439	みずいろ
043A	あおいろ
043B	むらさきいろ
043C	ピンクいろ
043D	くろいろ
043E	しろいろ
043F	ちゃいろ
0440	むらさきいろ
0441	おうどいろ
0442	ぐんじょういろ
0443	しゅいろ
0444	あいいろ
0445	はいいろ
0446	だいだいいろ
0447	ももいろ
0448	こんいろ
0449	そらいろ
044A	こげちゃいろ
044B	わかくさいろ
044C	きんいろ
044D	ぎんいろ
044E	バラいろ
044F	えびちゃいろ
0450	レンガいろ
0451	こはくいろ
0452	とびいろ
0453	クリいろ
0454	ざっかや
0455	コンビニ
0456	スーパー
0457	デパート
0458	ねずみどし
0459	うしどし
045A	とらどし
045B	うさぎどし
045C	たつどし
045D	へびどし
045E	うまどし
045F	ひつじどし
0460	さるどし
0461	とりどし
0462	いぬどし
0463	いのししどし
0464	えいがかん
0465	びじゅつかん
0466	としょかん
0467	はくぶつかん
0468	プラネタリウム
0469	すいぞくかん
046A	おんすいプール
046B	えいがかん
046C	びじゅつかん
046D	としょかん
046E	はくぶつかん
046F	プラネタリウム
0470	すいぞくかん
0471	おんすいプール
0472	えいがかん
0473	びじゅつかん
0474	としょかん
0475	はくぶつかん
0476	プラネタリウム
0477	すいぞくかん
0478	おんすいプール
0479	えいがかん
047A	びじゅつかん
047B	としょかん
047C	はくぶつかん
047D	プラネタリウム
047E	すいぞくかん
047F	おんすいプール
0480	えいがかん
0481	びじゅつかん
0482	としょかん
0483	はくぶつかん
0484	ごめんねリセットさん
0485	カンニンしてください
0486	はんせいしております
0487	2どと、いたしません
0488	わるいのはワタシです
0489	もうしわけありません
048A	シブイねリセットさん
048B	ココロをいれかえます
048C	リセットさんステキね
048D	これでさいごにします
048E	インチキはもうしない
048F	もうリセットはやめる
0490	ほんとにごめんなさい
0491	リセットはおしません
0492	じみちにがんばります
0493	リセットさんごめんね
0494	おひつじざ
0495	おうしざ
0496	ふたござ
0497	かにざ
0498	ししざ
0499	おとめざ
049A	てんびんざ
049B	さそりざ
049C	いてざ
049D	やぎざ
049E	みずがめざ
049F	うおざ
04A0	えほん
04A1	マンガ
04A2	しょうせつ
04A3	ざっし
04A4	しんぶん
04A5	かいらんばん
04A6	ほん
04A7	ひゃっかじてん
04A8	りょこうガイド
04A9	ぶんこぼん
04AA	しゅうかんし
04AB	もらったてがみ
04AC	えほん
04AD	マンガ
04AE	しょうせつ
04AF	ざっし
04B0	しんぶん
04B1	かいらんばん
04B2	ほん
04B3	ひゃっかじてん
04B4	りょこうガイド
04B5	ぶんこぼん
04B6	しゅうかんし
04B7	もらったてがみ
04B8	えほん
04B9	マンガ
04BA	しょうせつ
04BB	ざっし
04BC	しんぶん
04BD	かいらんばん
04BE	ほん
04BF	ひゃっかじてん
04C0	ダメ
04C1	だめ
04C2	イヤ
04C3	いや
04C4	ちっ
04C5	けっ
04C6	うざい
04C7	ウザイ
04C8	しるか
04C9	いやだ
04CA	だまれ
04CB	イヤだ
04CC	やだね
04CD	モグラ
04CE	もぐら
04CF	サイテー
04D0	ウルサイ
04D1	むかつく
04D2	ムカツク
04D3	なめんな
04D4	うるさい
04D5	うるせえ
04D6	つまらん
04D7	さいあく
04D8	サイテイ
04D9	ふざけんな
04DA	でてくんな
04DB	あっちいけ
04DC	やなこった
04DD	つまんねー
04DE	ひっこんでろ
04DF	おおきなおせわ
04E0	リセットさん
04E1	ジョニー
04E2	ゆきだるま
04E3	
04E4	
04E5	
04E6	
04E7	
04E8	
04E9	
04EA	  どうぶつのもり
04EB	 
04EC	      スタッフ
04ED	プロデューサー
04EE	     てづか たかし
04EF	 
04F0	ディレクター
04F1	     えぐち かつや
04F2	     のがみ ひさし
04F3	キャラクターアニメーター
04F4	   こばやし りゅうじ
04F5	 
04F6	キャラクターデザイナー
04F7	    いけがわ のりこ
04F8	   もりもと よしひさ
04F9	 
04FA	スクリーンデザイナー
04FB	      いいだ とき
04FC	インテリアデザイナー
04FD	     すみもと あや
04FE	 
04FF	フィールドデザイナー
0500	    たかむら じゅん
0501	     こにし しんこ
0502	 
0503	エフェクトデザイナー
0504	   ありもと まさなお
0505	デザインアシスタント
0506	     はやし みちほ
0507	    やまぐち かずみ
0508	    すがわら たえこ
0509	   なかはら ともあき
050A	     みやぎ あつし
050B	 
050C	イベントデザイナー
050D	      もり なおき
050E	サウンドディレクター
050F	     とたか かずみ
0510	 
0511	フィールドBGMコンポーザー
0512	     ながた けんた
0513	 
0514	インドアBGMコンポーザー
0515	    みねぎし とおる
0516	イベントBGMコンポーザー
0517	     たなか しのぶ
0518	 
0519	サウンドエフェクトプログラマー
051A	    ばんどう たろう
051B	 
051C	サウンドサポーター
051D	      いだ やすし
051E	スクリプトライター
051F	      わだ まこと
0520	   うえだ けんしろう
0521	    わたなべ くにお
0522	プログラムマネージャー
0523	    おおつき ゆひき
0524	 
0525	キャラクタープログラマー
0526	      にい まさる
0527	 
0528	プレーヤープログラマー
0529	    こまつ くにひろ
052A	データしょりプログラマー
052B	   たかき げんたろう
052C	 
052D	フィールドプログラマー
052E	    みやけ ひろみち
052F	プログラマー
0530	    うめみや ひろし
0531	    おがわ まさとし
0532	   くずはら たかみつ
0533	  さかきばら まさろう
0534	    さかぐち あつし
0535	     ささき まこと
0536	   すみよし のぶひろ
0537	プログラマー
0538	   たけした よしたか
0539	    にしわき あつし
053A	     のま たかふみ
053B	   はやかわ けんぞう
053C	    まつたに けんじ
053D	     よしだ しげき
053E	   やまもと ゆういち
053F	ファミコンエミュプログラマー
0540	    かわせ ともひろ
0541	 
0542	ファミコンエミュ
0543	     サウンドプログラマー
0544	    しみず ひであき
0545	スーパーバイザー
0546	    みやもと しげる
0547	   なかごう としひこ
0548	 
0549	プログレスマネージャー
054A	    かとう けいぞう
054B	     なりた みのる
054C	デバッグサポーター
054D	    かくい ひろのぶ
054E	     やすだ よしと
054F	 
0550	デバッガー
0551	  スーパーマリオクラブ
0552	     さるがくちょう
0553	エグゼクティブ・プロデューサー
0554	    やまうち ひろし
0555	よび
0556	よび
0557	よび
0558	タヌキしょうてん
0559	コンビニたぬき
055A	スーパーたぬき
055B	タヌキデパート
055C	せっかく きてもらったけど   ちょっと るすにしています。  へやにはいって         のんびりしていってください。  
055D	かぐ
055E	じゅうたん
055F	かべがみ
0560	ようふく
0561	よび
0562	よび
0563	よび
0564	よび
0565	よび
0566	コ
0567	コ
0568	コ
0569	コ
056A	コ
056B	コ
056C	コ
056D	コ
056E	コ
056F	コ
0570	コ
0571	コ
0572	コ
0573	コ
0574	コ
0575	まい
0576	まい
0577	まい
0578	まい
0579	まい
057A	まい
057B	まい
057C	まい
057D	まい
057E	まい
057F	まい
0580	まい
0581	まい
0582	まい
0583	まい
0584	ちゃく
0585	ちゃく
0586	ちゃく
0587	ちゃく
