0000	これはツールメイル0\r\r\r\r\r\r
002E	キミがコレをよむころには、ボクはきしゃにのっていることだろう。\rボクはさっきまでコノのいえに、やっかいになってた"たびびと"さ。"たび"はいろんなコトを、おしえてくれるんだ。いいもんさ。\r\r\r\r\r
002F	はじめまして、このこのははです。はじめてのひとりぐらし、とてもしんぱいしてるの。おともだちができるようにいのってつけたなまえなので、おぼえてもらえるとうれしいなずっと、なかよしでいてあげてね。\r\r\r\r\r\r
0030	すきなかぐはみつかった?\rきっとまだみたことのないかぐが\rたくさんあるから、\rきながにさがしてちょーだいね!\rそしてあなただけのステキなへやをつくってね$s\r\r
0031	まいどおなじみ\r「イナリかぐ」で ございます!\r[string 1][string 2][string 3]\rあなたのむらに いきまっせ!\rちんぴん いっぴんの\rオンパレード でっせ!!!\r
0032	しんしゅつ きぼつの\r「イナリかぐ」で ございます!\r[string 1][string 2][string 3]\rそちらに おじゃましまっせ!\rウチでしか かえへんもんばかりをとりそろえて おまちしてまっせ!\r\r
0033	みたこともない しなばかり!\rそらもう ビックリでっせ!!\rウソやとおもうなら\r[string 1][string 2][string 3]\r「イナリかぐ」に\rいらっしゃぁぁぁぁい!!!\r
0034	 [string 1] ポイントとりあえず、\rすめるようには なったけど、\rおせじにも きれいとは\rいえないみたい。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0035	 [string 1] ポイントだいぶ すみやすく\rなったわね。\rかぐの コーディネートも\rまずまずみたい。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0036	 [string 1] ポイントかぐの とういつかんは\rバッチリです。\rじゅうたん・かべがみも\rあうものを チョイスしてみて。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0037	 [string 1] ポイントここまでくれば たいしたもの。\rあとは、\r[string 2]が あれば\rかんぺきね。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0038	 [string 1] ポイントおへや ぜんたいの\rコーディネートは、 かんぺき!\rここからさきは、\rこせいを アピールしてみて。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0039	 [string 1] ポイントなんだか、\rおもしろそうな おへやに\rなりそうな よかん。\rたのしみです。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
003A	 [string 1] ポイント[string 3] シリーズ\rかんせい おめでとうございます。さらに こせいてきな\rおへやを めざしてください。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r\r
003B	 [string 1] ポイント[string 3]シリーズが\rだいなしですね。\rふんいきを\rぶちこわしちゃってます。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
003C	 [string 1] ポイントかぐは つかってこそ\rかちがあります。\rおきかたにも\rきをくばってほしいわね。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
003D	 [string 1] ポイントものを だしっぱなしにしてると\rおへやが きたなくみえるわ。\rタンスやクロゼットに\rしまいましょう。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
003E	 [string 1] ポイントいろいろな アイテムに\rめをむけて、\rもっともっと こせいてきな\rおへやを めざしてね。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
003F	 [string 1] ポイントだいぶ イメージが\rはっきりしてきたわね。\rこのちょうしで\rまとめあげてほしいわ。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0040	 [string 1] ポイントとっても ステキだけど\rまだ なにか\rたりないみたい。\rあきらめないで、がんばって!\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0041	 [string 1] ポイントほとんど かんぺきなんだけど\rまだ なにか\rものたりないみたい。\rあきらめないで、がんばって!\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0042	 [string 1] ポイントひとが すむへやとは\rおもえません。\rねるところくらいは\rちゃんと しましょうね。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0043	 [string 1] ポイントとにかく おへやが\rせますぎるわね。\rもうちょっと ひろくないと\rちゃんと かぐを おけません。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0044	 [string 1] ポイントおへやのひろさは、まずまずね。\rさらに ひろくするか、\rこのままに しておくかは、\rあなたの おこのみで。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0045	 [string 1] ポイントひろければ イイ\rって ものでは ありません。\rなんだか\rそうこ みたいね。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0046	 [string 1] ポイントすこしは おへやらしく\rなってきたみたい。\rでも、まだまだ\rひとにみせるほどでは ないわ。\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0047	 [string 1] ポイントかなり ステキな おへやです。\rじまんしても いいくらい!\rこのちょうしで さらにステキな\rおへやを めざして!\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0048	 [string 1] ポイントインテリア、コーディネート、\rオリジナリティ!\rどれをとっても\rすばらしい おへやですね!\r  [string 4]ねん[string 5]がつ[string 6]にち\r\r
0049	ごちゅうもんの\r「[string 1]」です。\r\rまたのごりようを\rおまちしております、だなも。\r\r
004A	たいへん おまたせいたしました。「[string 1]」\rで ございます。\r\rじかいの ごちゅうもんも\rぜひ とうてんで!!!\r\r
004B	「[string 1]」を\rおとどけいたします。\r\rこのたびは、\rごちゅうもん いただきまして\rありがとうございました。\r
004C	ごちゅうもんの\r「[string 1]」を\rおとどけいたします。\r\rこんごとも タヌキデパートを\rよろしく おねがいいたします。\r
004D	「[string 1]」を\rおとどけいたします。\r\rこのたびは、マルフクかぐを\rごりよう いただきまして\rありがとうございました。\r
004E	\r\r\r\r\r\r
004F	\r\r\r\r\r\r
0050	\r\r\r\r\r\r
0051	\r\r\r\r\r\r
0052	\r\r\r\r\r\r
0053	こんげつの しょうひんは、\r 1とう [string 2]\r 2とう [string 3]\r 3とう [string 4]\r[string 5]がつ[string 6]にちを\r        おたのしみに!\r
0054	こんげつの しょうひんは、\r 1とう [string 2]\r 2とう [string 3]\r 3とう [string 4]\r[string 5]がつ[string 6]にちを\r        おたのしみに!\r
0055	こんげつの しょうひんは、\r 1とう [string 2]\r 2とう [string 3]\r 3とう [string 4]\r[string 5]がつ[string 6]にちを\r        おたのしみに!\r
0056	こんげつの しょうひんは、\r 1とう [string 2]\r 2とう [string 3]\r 3とう [string 4]\r[string 5]がつ[string 6]にちを\r        おたのしみに!\r
0057	さきほど わたせなかった\rふくびきけんを おくります。\r\r[string 5]がつ まつじつの\rふくびきのひには、わすれずに\rもってきてくださいだなも!\r
0058	ほんじつ [string 5]がつ[string 6]にちは\rおたのしみの ふくびきデー!\r\rごぜん10じ から ごご8じまでうちのおみせで かいさいします。ふくびきけんを わすれずに!\r\r\r
0059	ほんじつ [string 5]がつ[string 6]にちは\rおたのしみの ふくびきデー!\r\rごぜん10じ から ごご8じまでうちのおみせで かいさいします。ふくびきけんを わすれずに!\r\r\r
005A	ほんじつ [string 5]がつ[string 6]にちは\rおたのしみの ふくびきデー!\r\rごぜん10じ から ごご8じまでうちのおみせで かいさいします。ふくびきけんを わすれずに!\r\r\r
005B	ほんじつ [string 5]がつ[string 6]にちは\rおたのしみの ふくびきデー!\r\rごぜん10じ から ごご8じまでうちのおみせで かいさいします。ふくびきけんを わすれずに!\r\r\r
005C	\r\r\r\r\r\r
005D	\r\r\r\r\r\r
005E	\r\r\r\r\r\r
005F	\r\r\r\r\r\r
0060	\r  いちばんだいスキです。\r\r\r\r\r
0061	[string 1]さん、\rいつも なかよくしてくれて\rどうもありがとう。\rこれからも もっともっと\rなかよくしてください。\r\r
0062	[string 1]さん、\rいままでは、それほど\rなかがいいっていうわけでは\rなかったですけど、\rこれからは、もっと\rなかよくしてくださいね。\r
0063	だいスキな[string 1]ちゃん!\rいままで いきてきたなかで\r[string 1]ちゃんほど\rステキなひとは いなかったよ!\rずっと そばにいてほしいな。\r\r
0064	ヤッホー!\rきょうは、バレンタインデーだね!いつも おせわになってる\r[string 1]ちゃんにも\rプレゼント おくるからねー!\rこれからも よろしくね!!\r\r
0065	よのなかは、バレンタインだしぃ\rアタイも だれかに\rおくってみようとおもってさ。\r\rそんだけー、バイバーイ!\r\r
0066	 おやつよりも おひるねよりも\r\r     だいスキです。\r\r\r\r
0067	いつも おせわになってます。\rホワイトデーのプレゼント\rどんなものがいいか\rひっしにかんがえました。\rこれからも\rなかよくしてください。\r
0068	そういえば、きょうは\rホワイトデーらしいねぇ。\rバレンタインのときに\rなにかもらったのかどうかも\rわすれちゃったので とりあえず\rプレゼントおくっときます。\r
0069	[string 1]さん\rだれよりも だいスキです!\r\rいつも うしろすがたを\rみつめていました!\r\r
006A	きょうは、ホワイトデーだな。\rちょっと てれるけど\rプレゼントを おくるぜ。\r\rこんど いっしょに\rつりにでも いこうな!\r
006B	きょうは、ホワイトデーだけど\rほかに おくるあいてもいないし\rひごろ おせわになっていない\rわけでもないようだから\rいちおう プレゼントを\rおくっとくなー。\r
006C	なにもいわねぇで\rこいつを うけとってくれ。\r\rなによりも たいせつな\r[string 1]へ・・・\r\r
006D	きょうは、ホワイトデー\rひごろ おせわになっている\r[string 1]に\rかんしゃのきもちをこめて。\r\rこれからも よろしくたのみます。\r
006E	ホワイトデーなんて\rチャラチャラしたモンは\rすきじゃねぇが これも\rぎょうじだから しかたねぇ。\r\r\r
006F	いつもは、きつくあたっちゃうけどあたしが めぐりあった\rひとたちのなかで\r[string 1]ちゃんが\rいちばんステキ・・・・・。\r\r\r
0070	いつも おせわになってる\r[string 1]ちゃんに\rバレンタインのプレゼントよ!\r\rps.ホワイトデーを\r   たのしみにしてるから。\r
0071	きょうは、バレンタインね。\rどうせ おたくのことだから\rだれからも プレゼントを\rもらえないんでしょ?\rかわいそうだから あたしが\rぷれぜんとしてあげるわね。\r
0072	 [string 5]\r\rがんぼう [string 1]\rえんだん [string 2]\rあきない [string 3]\rけんこう [string 4]\r
0073	 [string 5]\r\rねがい  [string 1]\rこい   [string 2]\rとりひき [string 3]\rからだ  [string 4]\r
0074	 [string 5]\r\rよくぼう [string 1]\rれんあい [string 2]\rうりかい [string 3]\rにくたい [string 4]\r
0075	あれって、おてがみ・・・?\rなにが いいたいのか\rぜんぜん わかりませんでした。\rこれからは、わかるように\rちゃんと かいてくださいね。\rおねがいします。\r
0076	ちょっと! へんな おてがみ\rよこさないでよ!\rなにが いいたいのか\rさっぱり わかんないわよ!\rかみの ムダよ!!\r\r
0077	なんだかなぁ・・・\rせっかく おてがみもらっても\rあれじゃ、なんだか\rわかんないよ。\rこんど かいてくれるときは\rわかるように かいてください。\r
0078	なんだよ、あのてがみは!!\rてぬきも いいかげんにしろよ!\rあんなてがみ もらっても\rうれしくないぞー!\rもう、てがみなんか\rいらないぞー!\r
0079	おぅおぅ なめてんのか コラ!\rだしゃ いいってもんじゃねぇぞ\rってんだ!!\rあんなてがみ もらっても\rこれっぽっちも\rうれしくねぇぞ!!\r
007A	おたく、てがみの かきかた\rしらないのかしら?\rむずかしいことを かかなくってもいいけど、わかるように\rかいてほしいわね。\rつぎは、ちゃんとかきなさいよ!\r\r
007B	おてがみ ありがとうって\rいちおう いっておきますね。\rだって、かいてあることが\rよく わからなかったんです。\rこんどは、もうすこし\rわかりやすく おねがいしますね。\r
007C	がんばって りかいしようと\rおもってるんだけどー、\rちょっと むずかしすぎるよ!\rあれって、なんかの\rあんごうなの?\rあはは、そんなわけないか!\r
007D	せっかく おてがみを\rもらったんだけどぉ\rよく わかんなかったんだぁ\rごめんねぇ・・・\rちゃんと よめるように\rべんきょうするよぉ。\r
007E	ニホンゴ ムツカシデース!\rトクニ ユー ノ カクコト\rリカイデキマセーン!!\rモスコシ ワカリヤスーク\rカイテクラサーイ!\rヨロシクネー!\r
007F	よぉ、おめぇなぁ\rオレのこと バカにしてるだろ?\rじゃなきゃ あんなこと\rてがみに かかねぇよなぁ!!\rなんだか オレは、\rかなしくなっちまったぜぇ。\r
0080	おたく、 あたしのこと\rなんだとおもってるの?\rてがみだったら なんでもいいってわけじゃ ないのよ!!\rニホンゴだって すこしくらい\rわかるんだからね。 まったく!\r\r
0081	おてがみ ありがとうございます。たくさんかいて くださったけど\rちょっと むずかしいところが\rあって、ぜんぶは りかい\rできなかったの、ごめんなさい。\rまた おてがみ くださいね。\r\r
0082	おてがみ ありがとねー!\rでもさー、たくさんかいてあった\rわりには ないよう うすくない?あっ! おこった?\rごめーん! おこらないで\rまた おてがみ ちょうだいねー!\r\r
0083	おてがみ ありがとぉ!\rでも、あのてがみって\rほかのひとに みせても\rだいじょうぶかなぁ・・・?\rせっかく みせるんだし\rたのしんでもらいたいもんね。\r
0084	てがみ サンキュー!\rかけばいい ってもんじゃないけどたくさん かいてくれたから\rまぁ いっか!\rけどさぁ、だれかにみせたとき\rよろこんでくれるか しんぱいだー\r\r
0085	なんでぇ なんでぇ!\rながながと くだらねーこと\rかきやがってよー!!\rつまんねーてがみを よこすなよ!そんなことじゃ、ともだち\rふえねぇぞ!\r\r
0086	とりあえず おてがみ ありがと\rって いっとくわね。くだらない\rことばっかり かいてあったけど。もうすこし ちてきなわだいは\rないのかしら?\rつぎに きたいしてるわね。\r\r
0087	おてがみ ありがとう。\rせっかくだから もうすこし\rたくさん かいてくれると\rうれしいんだけど。\rでも、おてがみの おれいに\rようふくを おくりますね。\r
0088	ハーイ! おてがみ サンキュ!\rけどさー、せっかくくれるんなら\rもっと たくさん かいてよー!\rかきたいことが なかったの?\rこの ようふくきて おさんぽ\rでもして わだいをさがしてねー!\r
0089	おてがみ くれて ありがとぉ。\rけどぉ、とりあえず だしました\rって カンジだねぇー。\rちょっと がっかり。\rこの ようふく あげるから\rかんそう かいて おくってねぇ。\r
008A	ヨー! てがみ よんだぞー!\rあっとゆーまに よみおわったぞ!もうすこし よみたかったぞー!\rま すこしくらいは ひまを\rつぶせたし おれいに ようふくをおくるぞー! よろこべー!\r\r\r
008B	さみしい てがみ、ありがとよ。\rたしかに たくさんかきゃあ\rいいって もんじゃ ねぇけど\rもうちーっと かいてくれねぇと\rつまんねぇじゃねぇか。\rこのふく やるから またかけよ。\r
008C	みじかい おてがみ ありがと。\rおたくって ふでぶしょう?\rもっと たくさん いろいろ\rかいてくれないと、だれかに\rみせても つまらないわよ。\rたのしいおてがみ ちょうだいね。\r
008D	おてがみ ありがとうございます。さみしいなーって おもってたのでとっても うれしかったナ。\rおてがみくれた おかえしに\r[string 1]を\rおくります。つかってくださいね。\r\r\r
008E	おてがみ ありがとねー!\rあのてがみ こんどだれかに\rみせちゃうからねー! えへへ!!そうそう この\r[string 1] さー\rいらなくなったから あげるー!\r\r
008F	だれかから おてがみが\rこないかなーって おもってたからキミの おてがみうれしかった。\rあって はなすのも いいけど\rたまには おてがみも いいよね。\r\r\r
0090	オッス! げんきかー?\rてがみくれて ありがとなー!\rきかいが あったら、\rかならず だれかに\rみせるからなー!\rやくそくするぞー!!\r
0091	てがみ、ありがとよ。\rせっかくだからよぉ、へんじでも\rかこうかと おもったけど、\rかくこと ねぇや。\rしかたねぇから、これ やるぜ。\r\r
0092	りちぎに おてがみ\rかいてくれたわね。\rいちおう おれいをいうわ。\rことばだけじゃ なんだから\r[string 1]を\rあげるわね。それじゃまたね。\r
0093	おてがみ ありがとうございます。たくさん かいてくれて\rうれしかったです。\rこんどは さいそくしなくても\rかいてくださいね。それから これおてがみの おれいにあげます。\r\r\r
0094	おてがみ サンキュー!!\rなんか、たくさんかいてくれて\rちょー うれしかった!!\rこの[string 1]は、\rほんの かんしゃのしるし。\rもらってねーー! \r
0095	おてがみ ありがとう。\rたくさん かいてあったから\rよんでたら ねむくなっちゃった。でも うれしかったです。\rまた おてがみ ちょうだいね。\rこんどは さいごまで よむから。\r\r
0096	よぉ! てがみ サンキュー!\rでもさぁ あんまり ムズイこと\rたくさん かくなよな!\rあたまが いたくなっちゃうぞー!そうそう、これさぁ ものおきからでてきたし、おまえに やるよ。\r\r\r
0097	おめぇからの てがみ\rたしかに うけとったぞ。\rまだ よんでねぇけどな。\rよむまえに へんじをかくのも\rなかなか おもしれぇぜ。\r\r
0098	おてがみ ありがとう。\rところで、へやをそうじしてたら\rいらない[string 1]が\rでてきたから、おたくにあげる。\rすてばしょに こまったわけじゃ\rないわよ。\r
0099	へんな おてがみ\rありがとうございます。 でも\rプレゼントは、うれしかったです。かわりに このフルーツを\rプレゼントします。\rまた おてがみ くださいね。\r\r
009A	やっほー! おてがみ みたよ!\rへんな おてがみだった!!\rでも、プレゼントが ついてたし\rゆるしてあげる!\rアタイも おかえしに\rプレゼント おくるね!\r
009B	なんだか よくわからない\rおてがみだったけど\rプレゼントは よくわかったよ!\rどんなものでも もらえるのは\rうれしいもんね!\rまた なんか おくってねぇ!\r
009C	よぉ! プレゼント、サンキュー!てがみは ヘンテコだったけどな!もうちょっと ちゃんと\rかいてくれたら\rもっといいもの おくったんだけどこんかいは、これだけだ!\r\r\r\r
009D	わけのわかんねぇ てがみを\rよこしやがって! おこるぞ!\rプレゼントが ついてたから\rゆるしてやるけどな。\rこんどは ちゃんと\rかかねぇと しょうちしねえぞ!\r
009E	やっぱり おたく、おてがみの\rかきかた しらないでしょ!\rダメよ、プレゼントなんかじゃ\rごまかされないんだから!\rこれ あげるから\rもうすこし がんばんなさい!\r
009F	こんにちは。\rおてがみ、ありがとうございます。けど、おてがみよりも\rプレゼントが きになっちゃって\rよむどころでは なかったです。\rこれ おかえしのプレゼントです。\r\r
00A0	ハロー! ごきげんいかがー?\rプレゼントもらったおかげで\rアタイは、ちょーハッピー!!\rこれは、ハッピーのおかえしよ!\rおてがみの ないようについては\rノーコメントっちゅーことで!\r
00A1	プレゼント、ありがとう。\rとつぜん きたいしてないときに\rもらえちゃうと うれしいよね。\rだから ボクも あげちゃいます。たいしたモノじゃないけど\rないようより キモチだよね。\r\r
00A2	よぉ! げんきにしてるかー?\rっていっても しょっちゅう\rあってるもんなー!\rところで、プレゼントありがとな!てがみは くれって いったけど\rプレゼントなんか いいのによぉ!\r\r
00A3	てがみ、ありがとよ。\rそれにしても どういうつもりだ?あんなモノ つけてよこしやがってかわりになにか ほしいのかい?\rミエミエなのが カワイイな。\rおもしろかったから これをやるよ\r\r\r
00A4	ごきげんのとりかたが\rじょうずに なったわね。\rプレゼントこうげきで\rおてがみを かけないのを\rおぎなうサクセンね。\rまぁ、それも アリ だわね。\r
00A5	おねがいをきいて おてがみを\rかいてくれて、ありがとう。\rプレゼントまで くれるなんて\rおもって いませんでした。\rまた いつでも、\rおてがみ くださいね。\r
00A6	ハイ! ごきげんいかがー?\rアタイは ごきげんよ! だって\rイイモノもらっちゃったしね。\rおかえしに このふく おくるね。このあたりじゃ けっこう\rめずらしい ふくなのよ!\r\r
00A7	どうもどうも!\rおてがみ ありがとうね。\rあっ、おてがみじゃなくって\rプレゼント ありがとうだった。\rかわりに このふく あげるね。\rボクには ちっちゃいんだ、コレ。\r
00A8	てがみ、サンキュー!!\rてがみより、プレゼントのほうが\rうれしかったけどさー。\rもらいっぱなしじゃ わるいから\rこのふく おくるし\rきてくれよな。\r
00A9	よぉ! とりあえずプレゼントの\rれいは いっておくぜ。\rてがみは、そんなに おもしろく\rなかったけどな。\rこのふくをやるから きてみな。\rそれじゃ、またな。\r
00AA	ながいばっかりの おてがみ\rありがと。 プレゼントは\rうれしかったけど、おてがみは\rイマイチだったわよ。\rでも まぁ、かわりに これを\rあげるから きてみなさいね。\r
00AB	おてがみ ありがとうございます。ステキなプレゼントも くださってとっても かんげきです。\rめずらしいフルーツが\rてにはいったので おくります。\rそれでは、またね。\r\r\r
00AC	ちゃんと おてがみ くれたねー!おまけに プレゼントも\rもらえるなんて、ちょーハッピー!このフルーツでもたべて\rアンタもハッピーになってね!!\r\r\r\r
